AB Agarkar,RA Jadeja,1,2,0,0,0,0,0,3,2,9
AB Dinda,A Mishra,1,0,0,0,0,0,1,1,11,8
AB Dinda,CH Gayle,2,2,0,0,1,0,0,5,11,5
AB Dinda,DJ Bravo,0,2,0,0,0,0,0,2,11,5
AB Dinda,DW Steyn,2,0,0,0,0,0,1,2,11,8
AB Dinda,KA Pollard,1,1,0,0,0,0,0,2,11,6
AB Dinda,MG Johnson,3,2,0,0,0,0,0,5,11,9
AB Dinda,PV Tambe,3,0,0,0,0,0,1,3,11,8
AB Dinda,RP Singh,0,1,0,0,0,0,0,1,11,9
AB Dinda,SL Malinga,2,1,0,0,0,0,0,3,11,11
AB McDonald,S Nadeem,2,0,0,0,0,0,1,2,12,0
AB de Villiers,A Ashish Reddy,2,2,2,0,0,2,0,8,6,5
AB de Villiers,A Chandila,0,3,1,0,2,0,0,6,6,8
AB de Villiers,A Mishra,3,3,0,0,0,0,0,6,6,8
AB de Villiers,A Nehra,6,3,0,0,2,1,2,12,6,11
AB de Villiers,AB Dinda,2,3,1,0,6,3,0,15,6,0
AB de Villiers,AD Russell,2,1,0,0,1,0,0,4,6,8
AB de Villiers,AR Patel,7,8,1,0,3,1,1,20,6,8
AB de Villiers,Ankit Sharma,3,4,0,0,1,2,0,10,6,9
AB de Villiers,Anureet Singh,2,3,0,0,1,0,0,6,6,8
AB de Villiers,B Kumar,5,7,1,0,5,0,1,18,6,11
AB de Villiers,BAW Mendis,1,2,0,0,1,0,0,4,6,6
AB de Villiers,CH Morris,0,2,4,0,2,3,0,11,6,9
AB de Villiers,CL White,1,1,0,0,0,0,1,2,6,5
AB de Villiers,DJ Bravo,2,6,2,0,3,0,0,13,6,5
AB de Villiers,DJ Hooda,0,0,0,0,1,0,0,1,6,10
AB de Villiers,DJ Hussey,5,1,2,0,1,2,1,11,6,4
AB de Villiers,DJG Sammy,0,4,2,0,2,3,0,11,6,8
AB de Villiers,DP Nannes,2,1,1,1,2,0,1,7,6,6
AB de Villiers,DS Kulkarni,9,8,2,0,3,0,1,22,6,9
AB de Villiers,DW Steyn,3,4,1,0,1,3,0,12,6,8
AB de Villiers,GB Hogg,0,1,0,0,0,0,0,1,6,11
AB de Villiers,GJ Maxwell,2,1,0,0,0,1,0,4,6,13
AB de Villiers,HH Pandya,0,4,0,0,6,1,0,11,6,3
AB de Villiers,Harbhajan Singh,9,9,2,0,2,1,0,23,6,11
AB de Villiers,I Sharma,2,4,0,0,0,1,0,7,6,0
AB de Villiers,IC Pandey,11,1,0,0,4,1,1,17,6,0
AB de Villiers,IK Pathan,6,11,3,0,4,2,0,26,6,6
AB de Villiers,Imran Tahir,0,3,1,0,0,0,0,4,6,5
AB de Villiers,J Suchith,2,3,1,0,5,0,0,11,6,0
AB de Villiers,JH Kallis,5,6,0,0,0,0,0,11,6,8
AB de Villiers,JJ Bumrah,9,8,4,0,1,3,2,25,6,7
AB de Villiers,JP Duminy,0,2,1,0,1,0,0,4,6,0
AB de Villiers,JP Faulkner,7,10,4,0,5,4,1,30,6,9
AB de Villiers,KC Cariappa,1,1,0,0,2,1,1,5,6,9
AB de Villiers,KV Sharma,7,8,0,0,0,0,0,15,6,9
AB de Villiers,KW Richardson,1,2,1,0,1,1,1,6,6,8
AB de Villiers,Karanveer Singh,1,3,0,0,0,3,0,7,6,9
AB de Villiers,L Balaji,6,3,2,0,0,3,2,14,6,8
AB de Villiers,M Morkel,5,4,0,0,2,1,0,12,6,8
AB de Villiers,MC Henriques,1,0,0,0,0,0,1,1,6,11
AB de Villiers,MG Johnson,3,6,2,0,1,0,0,12,6,9
AB de Villiers,MG Neser,2,2,1,0,3,2,0,10,6,1
AB de Villiers,MJ McClenaghan,0,2,1,0,6,1,0,10,6,11
AB de Villiers,MM Sharma,1,0,0,0,0,0,1,1,6,11
AB de Villiers,MR Marsh,1,0,0,0,1,2,1,4,6,9
AB de Villiers,MS Gony,1,2,0,0,1,0,0,4,6,0
AB de Villiers,Mohammed Shami,2,1,0,0,0,0,0,3,6,4
AB de Villiers,NLTC Perera,0,1,1,0,0,0,0,2,6,9
AB de Villiers,P Awana,3,3,0,0,0,1,1,7,6,8
AB de Villiers,P Kumar,1,1,0,0,0,0,0,2,6,0
AB de Villiers,PJ Sangwan,1,2,0,0,1,0,0,4,6,1
AB de Villiers,PP Chawla,2,1,0,0,0,0,1,3,6,8
AB de Villiers,PP Ojha,4,7,0,0,2,0,0,13,6,6
AB de Villiers,PV Tambe,5,10,1,0,4,0,0,20,6,8
AB de Villiers,Parvez Rasool,1,1,0,0,0,0,0,2,6,7
AB de Villiers,R Ashwin,4,3,0,0,2,1,0,10,6,8
AB de Villiers,R Bhatia,2,8,0,0,1,1,0,12,6,8
AB de Villiers,R Dhawan,1,4,0,0,1,0,1,6,6,0
AB de Villiers,R Sharma,2,2,1,0,0,0,0,5,6,0
AB de Villiers,R Tewatia,1,3,0,0,0,0,0,4,6,8
AB de Villiers,R Vinay Kumar,1,3,0,0,0,0,1,4,6,8
AB de Villiers,RA Jadeja,2,5,0,0,1,1,0,9,6,9
AB de Villiers,RS Bopara,2,2,0,0,3,1,0,8,6,9
AB de Villiers,S Badree,0,1,0,0,0,0,0,1,6,2
AB de Villiers,S Kaul,2,5,1,0,5,1,1,14,6,7
AB de Villiers,S Nadeem,3,6,0,0,0,0,0,9,6,0
AB de Villiers,S Sreesanth,1,0,0,0,0,0,1,1,6,0
AB de Villiers,SK Trivedi,0,3,0,0,0,0,0,3,6,0
AB de Villiers,SL Malinga,11,5,3,0,7,2,0,28,6,11
AB de Villiers,SMSM Senanayake,0,2,1,0,0,0,0,3,6,11
AB de Villiers,SP Narine,6,6,1,0,1,0,1,14,6,11
AB de Villiers,SR Watson,21,12,7,0,6,0,1,46,6,8
AB de Villiers,STR Binny,8,4,1,0,1,1,0,15,6,8
AB de Villiers,Sandeep Sharma,1,6,0,0,1,0,0,8,6,11
AB de Villiers,Shakib Al Hasan,1,2,1,0,0,0,0,4,6,8
AB de Villiers,Shivam Sharma,1,5,0,0,0,2,0,8,6,6
AB de Villiers,TA Boult,1,0,0,0,1,0,1,2,6,9
AB de Villiers,TG Southee,4,2,0,0,0,0,0,6,6,7
AB de Villiers,UT Yadav,6,6,2,0,1,3,1,18,6,0
AB de Villiers,YK Pathan,1,5,0,0,0,1,0,7,6,4
AB de Villiers,Z Khan,4,3,1,0,0,0,0,8,6,11
AC Gilchrist,A Chandila,5,4,0,0,0,0,0,9,5,8
AC Gilchrist,A Mishra,1,2,0,0,0,0,0,3,5,8
AC Gilchrist,A Nehra,4,1,1,0,3,2,0,11,5,11
AC Gilchrist,AB Dinda,1,1,0,0,0,0,0,2,5,0
AC Gilchrist,AD Mathews,2,0,0,0,0,0,1,2,5,6
AC Gilchrist,AS Rajpoot,1,1,0,0,2,0,0,4,5,0
AC Gilchrist,B Kumar,5,0,0,0,3,1,1,9,5,11
AC Gilchrist,DJG Sammy,1,0,0,0,0,0,1,1,5,8
AC Gilchrist,DP Nannes,2,0,0,0,0,0,1,2,5,6
AC Gilchrist,DW Steyn,6,4,1,0,0,0,0,11,5,8
AC Gilchrist,GH Vihari,4,2,0,0,0,0,0,6,5,6
AC Gilchrist,I Sharma,6,3,2,0,4,0,0,15,5,0
AC Gilchrist,IK Pathan,4,1,1,0,2,0,2,8,5,6
AC Gilchrist,JD Unadkat,6,2,2,0,3,0,0,13,5,8
AC Gilchrist,JH Kallis,5,1,0,0,0,0,0,6,5,8
AC Gilchrist,JP Faulkner,1,2,0,0,2,0,0,5,5,9
AC Gilchrist,KK Cooper,1,3,1,0,0,0,1,5,5,9
AC Gilchrist,KV Sharma,2,1,0,0,0,0,1,3,5,9
AC Gilchrist,L Balaji,9,3,0,0,1,0,0,13,5,8
AC Gilchrist,M Morkel,1,3,0,0,0,0,0,4,5,8
AC Gilchrist,M Muralitharan,2,3,0,0,2,2,0,9,5,7
AC Gilchrist,MC Henriques,2,1,1,0,1,0,0,5,5,11
AC Gilchrist,NLTC Perera,3,2,0,0,4,0,0,9,5,9
AC Gilchrist,NM Coulter-Nile,5,1,0,0,1,0,1,7,5,11
AC Gilchrist,R Bhatia,1,0,1,0,0,0,1,2,5,8
AC Gilchrist,R Vinay Kumar,3,6,1,0,2,0,0,12,5,8
AC Gilchrist,S Kaul,0,2,0,0,1,0,0,3,5,7
AC Gilchrist,S Ladda,0,2,0,0,1,0,0,3,5,5
AC Gilchrist,S Sreesanth,2,0,0,0,3,0,1,5,5,0
AC Gilchrist,SK Trivedi,0,2,1,0,0,0,0,3,5,0
AC Gilchrist,SMSM Senanayake,8,4,1,0,3,0,1,16,5,11
AC Gilchrist,SR Watson,3,3,0,0,1,0,0,7,5,8
AC Gilchrist,UT Yadav,2,1,0,0,0,0,0,3,5,0
AC Gilchrist,Z Khan,9,5,1,0,2,1,0,18,5,11
AD Mascarenhas,DW Steyn,1,1,0,0,0,0,0,2,13,8
AD Mascarenhas,NLTC Perera,0,2,1,0,0,0,0,3,13,9
AD Mathews,A Ashish Reddy,0,3,0,0,0,0,0,3,9,5
AD Mathews,A Mishra,3,3,0,0,0,0,1,6,9,8
AD Mathews,AD Russell,6,2,0,0,1,0,1,9,9,8
AD Mathews,AR Patel,1,1,0,0,1,0,0,3,9,8
AD Mathews,Anureet Singh,0,1,0,0,0,0,0,1,9,8
