Team1,Team2
DA Warner,DR Smith
S Dhawan,BB McCullum 
KS Williamson,SK Raina
MC Henriques,KD Karthik
Yuvraj Singh,AJ Finch
DJ Hooda,DJ Bravo
NV Ojha,RA Jadeja
B Kumar,P Kumar
BB Sran,PJ Sangwan
A Nehra,DS Kulkarni
Mustafizur Rahman,S Kaushik
